country_or_state,lat,lon
Barbados,13.1667,-59.5333
Belize,17.25,-88.75
Bermuda,32.3333,-64.75
British Virgin Islands,18.4269,-64.6208
Canada,60,-95
Cayman Islands,19.5,-80.5
Costa Rica,10,-84
Dominican Republic,19,-70.6667
El Salvador,13.8333,-88.9167
France,46,2
Grenada,12.1167,-61.6667
Guatemala,15.5,-90.25
Haiti,19,-72.4167
Honduras,15,-86.5
Jamaica,18.25,-77.5
Mexico,23,-102
Nicaragua,13,-85
Panama,9,-80
Puerto Rico,18.466333,-66.105721
Saint Lucia,13.8833,-61.1333
Trinidad and Tobago,11,-61
Turks and Caicos Islands,21.75,-71.5833
"USA","","" 
"USA, Alabama",32.31823,-86.902298
"USA, Alaska",66.160507,-153.369141
"USA, Arizona",34.048927,-111.093735
"USA, Arkansas",34.799999,-92.199997
"USA, California",36.778259,-119.417931
"USA, Colorado",39.113014,-105.358887
"USA, Connecticut",41.599998,-72.699997
"USA, Delaware",39,-75.5
"USA, District of Columbia",38.9071923,-77.0368707
"USA, Florida",27.994402,-81.760254
"USA, Georgia",33.247875,-83.441162
"USA, Hawaii",19.741755,-155.844437
"USA, Idaho",44.068203,-114.742043
"USA, Illinois",40,-89
"USA, Indiana",40.273502,-86.126976
"USA, Iowa",42.032974,-93.581543
"USA, Kansas",38.5,-98
"USA, Kentucky",37.839333,-84.27002
"USA, Louisiana",30.39183,-92.329102
"USA, Maine",45.367584,-68.972168
"USA, Maryland",39.045753,-76.641273
"USA, Massachusetts",42.407211,-71.382439
"USA, Michigan",44.182205,-84.506836
"USA, Minnesota",46.39241,-94.63623
"USA, Mississippi",33,-90
"USA, Missouri",38.573936,-92.60376
"USA, Montana",46.96526,-109.533691
"USA, Nebraska",41.5,-100
"USA, Nevada",39.876019,-117.224121
"USA, New Hampshire",44,-71.5
"USA, New Jersey",39.833851,-74.871826
"USA, New Mexico",34.307144,-106.018066
"USA, New York",43,-75
"USA, North Carolina",35.782169,-80.793457
"USA, North Dakota",47.650589,-100.437012
"USA, Ohio",40.367474,-82.996216
"USA, Oklahoma",36.084621,-96.921387
"USA, Oregon",44,-120.5
"USA, Pennsylvania",41.203323,-77.194527
"USA, Rhode Island",41.742325,-71.742332
"USA, South Carolina",33.836082,-81.163727
"USA, South Dakota",44.5,-100
"USA, Tennessee",35.860119,-86.660156
"USA, Texas",31,-100
"USA, Utah",39.41922,-111.950684
"USA, Vermont",44,-72.699997
"USA, Virginia",37.926868,-78.024902
"USA, Washington",47.037872,-122.900696
"USA, West Virginia",39,-80.5
"USA, Wisconsin",44.5,-89.5
"USA, Wyoming",43.07597,-107.290283
