Isolate_Id,Isolate_Name
EPI_ISL_25817,A/El_Salvador/450/2008
EPI_ISL_62907,A/Managua/3153.01/2008
EPI_ISL_62912,A/Managua/5007.01/2008
EPI_ISL_25818,A/El_Salvador/468/2008
EPI_ISL_60729,A/Guatemala/22/2008
EPI_ISL_30230,A/Managua/3759.02/2008
EPI_ISL_25815,A/Texas/11/2008
EPI_ISL_25806,A/Florida/17/2008
EPI_ISL_26228,A/Florida/17/2008
EPI_ISL_26233,A/Missouri/06/2008
EPI_ISL_29674,A/Managua/1409.01/2008
EPI_ISL_62911,A/Managua/496.01/2008
EPI_ISL_25816,A/California/07/2008
EPI_ISL_150923,A/swine/North_Carolina/02403/2008
EPI_ISL_150894,A/swine/North_Carolina/SG1307/2008
EPI_ISL_150925,A/swine/North_Carolina/SG1314/2008
EPI_ISL_151211,A/swine/North_Carolina/SG1307/2008
EPI_ISL_150924,A/swine/North_Carolina/SG1313/2008
EPI_ISL_30232,A/Managua/4924.01/2008
EPI_ISL_30227,A/Managua/2860.01/2008
EPI_ISL_33842,A/Managua/3418.01/2008
EPI_ISL_26234,A/Pennsylvania/08/2008
EPI_ISL_26235,A/Pennsylvania/08/2008
EPI_ISL_28312,A/Pennsylvania/08/2008
EPI_ISL_28313,A/Pennsylvania/08/2008
EPI_ISL_26229,A/Hawaii/19/2008
EPI_ISL_83280,A/Texas/14/2008
EPI_ISL_82195,A/swine/Iowa/46519-2/2008
EPI_ISL_96940,A/swine/Illinois/02385/2008
EPI_ISL_27642,A/Hawaii/20/2008
EPI_ISL_28288,A/Hawaii/20/2008
EPI_ISL_28289,A/Hawaii/20/2008
EPI_ISL_28377,A/Hawaii/42/2008
EPI_ISL_62906,A/Managua/1985.01/2008
EPI_ISL_28376,A/Hawaii/41/2008
EPI_ISL_27651,A/South_Carolina/06/2008
EPI_ISL_28320,A/South_Carolina/06/2008
EPI_ISL_150947,A/swine/North_Carolina/SG1309/2008
EPI_ISL_26230,A/Hawaii/21/2008
EPI_ISL_27643,A/Hawaii/21/2008
EPI_ISL_28286,A/Florida/18/2008
EPI_ISL_29912,A/Managua/4315.04/2008
EPI_ISL_26238,A/Texas/15/2008
EPI_ISL_26239,A/Texas/16/2008
EPI_ISL_28301,A/Maryland/04/2008
EPI_ISL_82196,A/swine/Iowa/46519-3/2008
EPI_ISL_28285,A/Delaware/01/2008
EPI_ISL_28304,A/Mexico/4726/2008
EPI_ISL_30231,A/Managua/309.01/2008
EPI_ISL_27640,A/Florida/19/2008
EPI_ISL_28363,A/Florida/19/2008
EPI_ISL_29675,A/Managua/254.01/2008
EPI_ISL_26236,A/Pennsylvania/09/2008
EPI_ISL_26237,A/Pennsylvania/09/2008
EPI_ISL_28333,A/Washington/08/2008
EPI_ISL_26245,A/Wisconsin/12/2008
EPI_ISL_27641,A/Florida/21/2008
EPI_ISL_28305,A/Michigan/05/2008
EPI_ISL_29648,A/Managua/4537.03/2008
EPI_ISL_26240,A/Texas/17/2008
EPI_ISL_29676,A/Managua/5380.01/2008
EPI_ISL_27637,A/Mexico/4971/2008
EPI_ISL_26241,A/Texas/18/2008
EPI_ISL_30233,A/Managua/4412.01/2008
EPI_ISL_28334,A/Washington/10/2008
EPI_ISL_27635,A/Costa_Rica/1575/2008
EPI_ISL_27645,A/Hawaii/46/2008
EPI_ISL_150922,A/swine/North_Carolina/SG1310/2008
EPI_ISL_33847,A/Managua/5751.01/2008
EPI_ISL_27639,A/Arizona/13/2008
EPI_ISL_27655,A/Wisconsin/16/2008
EPI_ISL_28277,A/Arizona/13/2008
EPI_ISL_27647,A/Massachusetts/08/2008
