Isolate_Id,Isolate_Name
EPI_ISL_18107026,A/mallard_duck/Tennessee/CEIRR-282/2022
EPI_ISL_19604094,A/mallard/Tennessee/22-024871-001/2022
EPI_ISL_19604095,A/mallard/Tennessee/22-024871-002/2022
EPI_ISL_18107005,A/american_wigeon/Tennessee/CEIRR-298/2022
EPI_ISL_18107020,A/gadwall_duck/Tennessee/CEIRR-295/2022
EPI_ISL_18107021,A/gadwall_duck/Tennessee/CEIRR-296/2022
EPI_ISL_18107022,A/gadwall_duck/Tennessee/CEIRR-297/2022
EPI_ISL_18107030,A/mallard_duck/Tennessee/CEIRR-287/2022
EPI_ISL_18107035,A/mallard_duck/Tennessee/CEIRR-288/2022
EPI_ISL_18107041,A/mallard_duck/Tennessee/CEIRR-290/2022
EPI_ISL_18107046,A/mallard_duck/Tennessee/CEIRR-291/2022
EPI_ISL_18107047,A/mallard_duck/Tennessee/CEIRR-293/2022
EPI_ISL_18132864,A/Bald_Eagle/Florida/USDA-011399-001/2022
EPI_ISL_19604060,A/mallard/Tennessee/22-024871-009/2022
EPI_ISL_19604072,A/mallard/Tennessee/22-024871-007/2022
EPI_ISL_19604073,A/mallard/Tennessee/22-024871-006/2022
EPI_ISL_19604074,A/mallard/Tennessee/22-024871-005/2022
EPI_ISL_19604096,A/mallard/Tennessee/22-024871-003/2022
EPI_ISL_19604097,A/mallard/Tennessee/22-024871-004/2022
EPI_ISL_19606554,A/american_wigeon/Tennessee/22-024871-013/2022
EPI_ISL_19606555,A/american_wigeon/Tennessee/22-024871-014/2022
EPI_ISL_19608023,A/gadwall/Tennessee/22-024871-010/2022
EPI_ISL_19608025,A/gadwall/Tennessee/22-024871-011/2022
EPI_ISL_19608027,A/gadwall/Tennessee/22-024871-012/2022
EPI_ISL_19608029,A/gadwall/Tennessee/22-024871-015/2022
EPI_ISL_18133032,A/American_Wigeon/North_Carolina/USDA-003439-003/2022
EPI_ISL_18133144,A/American_Wigeon/Delaware/USDA-003358-008/2022
EPI_ISL_18133178,A/Mallard/New_Hampshire/USDA-003359-006/2022
EPI_ISL_18133181,A/Mallard/New_Hampshire/USDA-003359-025/2022
EPI_ISL_18133223,A/Mallard/New_Hampshire/USDA-003417-054/2022
EPI_ISL_18133226,A/Mallard/New_Hampshire/USDA-003417-053/2022
EPI_ISL_18133230,A/Mallard/New_Hampshire/USDA-003417-048/2022
EPI_ISL_18133233,A/Mallard/New_Hampshire/USDA-003417-047/2022
EPI_ISL_18133237,A/Mallard/New_Hampshire/USDA-003417-043/2022
EPI_ISL_18133241,A/Mallard/New_Hampshire/USDA-003417-039/2022
EPI_ISL_18133245,A/Mallard/New_Hampshire/USDA-003417-032/2022
EPI_ISL_18133249,A/Mallard/New_Hampshire/USDA-003359-036/2022
EPI_ISL_19145107,A/Mallard/NS/FAV-0094-78/2022
EPI_ISL_19145149,A/Mixed/NS/FAV-0065-10/2022
EPI_ISL_19145150,A/Mixed/NS/FAV-0065-11/2022
EPI_ISL_19145151,A/Mixed/NS/FAV-0066-1/2021
EPI_ISL_19145152,A/Mixed/NS/FAV-0066-3/2021
EPI_ISL_18132362,A/Northern_Shoveler/North_Carolina/USDA-003831-019/2022
EPI_ISL_18132478,A/Wood_Duck/North_Carolina/USDA-003829-001/2022
EPI_ISL_18133200,A/Mallard/North_Carolina/USDA-003441-001/2022
EPI_ISL_18133466,A/Green-winged_Teal/North_Carolina/USDA-003830-009/2022
EPI_ISL_18133469,A/Green-winged_Teal/North_Carolina/USDA-003830-004/2022
EPI_ISL_18133472,A/Green-winged_Teal/North_Carolina/USDA-003830-003/2022
EPI_ISL_18133475,A/Green-winged_Teal/North_Carolina/USDA-003827-001/2022
EPI_ISL_18133477,A/Green-winged_Teal/North_Carolina/USDA-003444-004/2022
EPI_ISL_18133524,A/Gadwall/Virginia/USDA-003923-001/2022
EPI_ISL_18107048,A/mallard_duck/Tennessee/CEIRR-303/2022
EPI_ISL_18107055,A/american_wigeon/Tennessee/CEIRR-301/2022
EPI_ISL_18133470,A/Gadwall/Georgia/USDA-003669-001/2022
EPI_ISL_19604050,A/mallard/Tennessee/22-024871-017/2022
EPI_ISL_19606557,A/american_wigeon/Tennessee/22-024871-016/2022
EPI_ISL_16190850,A/Herring_Gull/NL/FAV-0091-01/2022
EPI_ISL_18107049,A/mallard_duck/Tennessee/CEIRR-307/2022
EPI_ISL_18107050,A/mallard_duck/Tennessee/CEIRR-309/2022
EPI_ISL_18132370,A/Northern_Shoveler/Delaware/USDA-003933-001/2022
EPI_ISL_18133463,A/Green-winged_Teal/North_Carolina/USDA-004007-005/2022
EPI_ISL_19145153,A/Herring_Gull/NL/FAV-0093-1/2022
EPI_ISL_19145154,A/Turkey_Vulture/NS/FAV-0106-1/2022
EPI_ISL_19604051,A/mallard/Tennessee/22-024871-019/2022
EPI_ISL_18132448,A/Red-shouldered_Hawk/North_Carolina/USDA-006530-001/2022
EPI_ISL_18132885,A/Bald_Eagle/North_Carolina/USDA-006530-002/2022
EPI_ISL_18132937,A/Bald_Eagle/Florida/USDA-006544-005/2022
EPI_ISL_18132941,A/Bald_Eagle/Florida/USDA-006544-004/2022
EPI_ISL_18133184,A/Mallard/North_Carolina/USDA-004008-011/2022
EPI_ISL_18133188,A/Mallard/North_Carolina/USDA-004008-010/2022
EPI_ISL_18133192,A/Mallard/North_Carolina/USDA-004008-006/2022
EPI_ISL_18133196,A/Mallard/North_Carolina/USDA-004008-002/2022
EPI_ISL_15843373,A/Bald_Eagle/BC/OTH-33-36/2022_(H5N1)
EPI_ISL_18133137,A/Mallard/Connecticut/USDA-003935-014/2022
EPI_ISL_18133141,A/Mallard/Connecticut/USDA-003935-013/2022
EPI_ISL_18133145,A/Mallard/Connecticut/USDA-003935-001/2022
EPI_ISL_18133264,A/Mallard/Connecticut/USDA-003935-024/2022
EPI_ISL_18133268,A/Mallard/Connecticut/USDA-003935-022/2022
EPI_ISL_18133386,A/goose/Massachusetts/USDA-005893-002/2022
EPI_ISL_18133389,A/goose/Massachusetts/USDA-005893-001/2022
EPI_ISL_18133398,A/goose/Delaware/USDA-004745-001/2022
EPI_ISL_19145155,A/Common_Merganser/NS/FAV-0102-4/2022
EPI_ISL_18133148,A/American_Wigeon/Alabama/USDA-004941-003/2022
EPI_ISL_18133338,A/Green-winged_Teal/North_Carolina/USDA-004372-001/2022
EPI_ISL_18132153,A/American_Black_Duck/Connecticut/USDA-005000-001/2022
EPI_ISL_9909371,A/turkey/Indiana/22-003707-003/2022
EPI_ISL_16641796,A/snowy_owl/MA/22MM00323/2022
EPI_ISL_18132254,A/turkey/Indiana/USDA-003707-003/2022
EPI_ISL_18133208,A/Mallard/New_Jersey/USDA-005110-014/2022
EPI_ISL_18133212,A/Mallard/New_Jersey/USDA-005110-004/2022
EPI_ISL_18133220,A/Mallard/New_Jersey/USDA-005110-003/2022
EPI_ISL_18133248,A/Mallard/Kentucky/USDA-005153-004/2022
EPI_ISL_18133253,A/Mallard/New_Jersey/USDA-005110-001/2022
EPI_ISL_19145156,A/Mixed/NS/FAV-0083-125/2022
EPI_ISL_19145157,A/Mixed/NS/FAV-0083-126/2022
EPI_ISL_19145158,A/Mixed/NS/FAV-0083-154/2022
EPI_ISL_19145159,A/Mixed/NS/FAV-0083-155/2022
EPI_ISL_18132177,A/Snow_Goose/Kentucky/USDA-004809-002/2022
EPI_ISL_18132179,A/Snow_Goose/Kentucky/USDA-004809-001/2022
EPI_ISL_18133273,A/Lesser_Scaup/Florida/USDA-004623-002/2022
EPI_ISL_18133467,A/Gadwall/Kentucky/USDA-005154-004/2022
EPI_ISL_19145160,A/Blue_Jay/NS/FAV-0095-1/2022
EPI_ISL_19145161,A/Bufflehead/NB/FAV-0130-1/2022
EPI_ISL_19145162,A/Red-Tailed_Hawk/NS/FAV-0095-2/2022
EPI_ISL_18132364,A/Red-shouldered_Hawk/Delaware/USDA-004621-001/2022
EPI_ISL_19775383,A/Red-Tailed_Hawk/NB/FAV-0160-1/2022
EPI_ISL_11628212,A/chicken/Virginia/22-004415-001/2022
EPI_ISL_11628213,A/chicken/Kentucky/22-004416-001/2022
EPI_ISL_11628214,A/chicken/Kentucky/22-004416-002/2022
EPI_ISL_11628215,A/chicken/Kentucky/22-004416-003/2022
EPI_ISL_18132599,A/chicken/Kentucky/USDA-004416-001/2022
EPI_ISL_18132603,A/chicken/Kentucky/USDA-004416-002/2022
EPI_ISL_18132607,A/chicken/Kentucky/USDA-004416-003/2022
EPI_ISL_18133167,A/Backyard_bird/Virginia/USDA-004415-001/2022
EPI_ISL_19145163,A/Ruffed_Grouse/NL/FAV-0114-1/2022
EPI_ISL_11628216,A/turkey/Kentucky/22-004546-001/2022
EPI_ISL_11628217,A/turkey/Kentucky/22-004546-002/2022
EPI_ISL_15063846,A/bald_eagle/Florida/W22-134-OP/2022
EPI_ISL_16983510,A/red-shouldered_hawk/North_Carolina/121/2022
EPI_ISL_18132703,A/turkey/Kentucky/USDA-004546-001/2022
EPI_ISL_18133105,A/American_Green-winged_Teal/Tennessee/USDA-005910-002/2022
EPI_ISL_19145164,A/American_Crow/NB/FAV-0117-1/2022
EPI_ISL_19145165,A/American_Crow/NB/FAV-0118-1/2022
EPI_ISL_19145166,A/Herring_Gull/NS/FAV-0111-1/2022
EPI_ISL_18132475,A/Wood_Duck/Tennessee/USDA-005907-002/2022
EPI_ISL_18133262,A/Lesser_Scaup/Florida/USDA-005890-001/2022
EPI_ISL_19145167,A/Great_Black-Backed_Gull/NS/FAV-0105-1/2022
EPI_ISL_11628218,A/turkey/Indiana/22-004688-002/2022
EPI_ISL_11628219,A/turkey/Indiana/22-004688-003/2022
EPI_ISL_11628220,A/turkey/Indiana/22-004688-006/2022
EPI_ISL_18132242,A/turkey/Indiana/USDA-004688-006/2022
EPI_ISL_18132250,A/turkey/Indiana/USDA-004688-003/2022
EPI_ISL_18132282,A/turkey/Indiana/USDA-004688-002/2022
EPI_ISL_18132978,A/Black_Vulture/Florida/USDA-004958-001/2022
EPI_ISL_18132981,A/Black_Vulture/Florida/USDA-004761-001/2022
EPI_ISL_19145168,A/American_Crow/NB/FAV-0131-1/2022
EPI_ISL_19145169,A/Red-breasted_Merganser/NS/FAV-0113-1/2022
EPI_ISL_11628225,A/turkey/Indiana/22-005289-001/2022
EPI_ISL_11628226,A/turkey/Indiana/22-005289-002/2022
EPI_ISL_18132238,A/turkey/Indiana/USDA-005289-001/2022
EPI_ISL_18132949,A/Bald_Eagle/Florida/USDA-005524-002/2022
EPI_ISL_18133082,A/American_Black_Duck/Connecticut/USDA-005313-008/2022
EPI_ISL_18133085,A/American_Black_Duck/Connecticut/USDA-005313-007/2022
EPI_ISL_18133089,A/American_Black_Duck/Connecticut/USDA-005313-006/2022
EPI_ISL_18133270,A/Lesser_Scaup/Florida/USDA-005079-001/2022
EPI_ISL_19145170,A/American_Crow/PE/FAV-0109-1/2022
EPI_ISL_19145171,A/Broad-winged_Hawk/NS/FAV-0124-1/2022
EPI_ISL_11628221,A/chicken/Maine/22-005158-001/2022
EPI_ISL_18133095,A/Backyard_bird/Maine/USDA-005158-001/2022
EPI_ISL_11628227,A/turkey/Indiana/22-005328-001/2022
EPI_ISL_11628228,A/turkey/Indiana/22-005328-002/2022
EPI_ISL_18132175,A/Snow_Goose/Kentucky/USDA-006742-003/2022
EPI_ISL_18132234,A/turkey/Indiana/USDA-005328-001/2022
