Isolate_Id,Isolate_Name
EPI_ISL_71442,A/Washington/73/2009
EPI_ISL_71726,A/Wisconsin/629-D01846/2009
EPI_ISL_71727,A/Wisconsin/629-D01904/2009
EPI_ISL_74150,A/New York/6949/2009
EPI_ISL_74151,A/New York/6976/2009
EPI_ISL_74154,A/New York/7020/2009
EPI_ISL_76728,A/California/VRDL123/2009
EPI_ISL_76727,A/California/VRDL122/2009
EPI_ISL_76726,A/California/VRDL121/2009
EPI_ISL_76725,A/California/VRDL120/2009
EPI_ISL_71731,A/Wisconsin/629-D02424/2009
EPI_ISL_71725,A/Wisconsin/629-D01752/2009
EPI_ISL_71711,A/Wisconsin/629-D00337/2009
EPI_ISL_71365,A/Dominican Republic/3768/2009
EPI_ISL_76724,A/California/VRDL119/2009
EPI_ISL_71729,A/Wisconsin/629-D02073/2009
EPI_ISL_74155,A/New York/7036/2009
EPI_ISL_74153,A/New York/7019/2009
EPI_ISL_73520,A/Texas/JMS389/2009
EPI_ISL_71718,A/Wisconsin/629-D01038/2009
EPI_ISL_70327,A/Connecticut/18/2009
EPI_ISL_71423,A/Tennessee/19/2009
EPI_ISL_71396,A/Michigan/29/2009
EPI_ISL_70313,A/Mississippi/09/2009
EPI_ISL_71716,A/Wisconsin/629-D00996/2009
EPI_ISL_70331,A/Kansas/25/2009
EPI_ISL_70338,A/Virginia/27/2009
EPI_ISL_71436,A/Virginia/27/2009
EPI_ISL_71722,A/Wisconsin/629-D01556/2009
EPI_ISL_73800,A/Puerto Rico/20/2009
EPI_ISL_69016,A/Maine/14/2009
EPI_ISL_71712,A/Wisconsin/629-D00459/2009
EPI_ISL_77712,A/Mexico/5569/2009
EPI_ISL_70326,A/Delaware/18/2009
EPI_ISL_73521,A/Texas/JMS390/2009
EPI_ISL_76243,A/New York/7425/2009
EPI_ISL_71410,A/New York/109/2009
EPI_ISL_74157,A/New York/7216/2009
EPI_ISL_71434,A/Vermont/30/2009
EPI_ISL_76729,A/California/VRDL124/2009
EPI_ISL_76730,A/California/VRDL125/2009
EPI_ISL_76731,A/California/VRDL126/2009
EPI_ISL_76732,A/California/VRDL127/2009
EPI_ISL_76733,A/California/VRDL128/2009
EPI_ISL_71401,A/Minnesota/41/2009
EPI_ISL_71420,A/South Carolina/46/2009
EPI_ISL_73522,A/Texas/JMS391/2009
EPI_ISL_74156,A/New York/7107/2009
EPI_ISL_76242,A/New York/7424/2009
EPI_ISL_73523,A/Texas/JMS392/2009
EPI_ISL_71391,A/Maryland/37/2009
EPI_ISL_74123,A/New York/0259/2009
EPI_ISL_154806,A/Georgia/26/2009
EPI_ISL_70314,A/Montana/25/2009
EPI_ISL_73524,A/Texas/JMS393/2009
EPI_ISL_74124,A/New York/0352/2009
EPI_ISL_71373,A/Georgia/25/2009
EPI_ISL_71395,A/Michigan/28/2009
EPI_ISL_74158,A/New York/7236/2009
EPI_ISL_76738,A/California/VRDL133/2009
EPI_ISL_76737,A/California/VRDL132/2009
EPI_ISL_76736,A/California/VRDL131/2009
EPI_ISL_76735,A/California/VRDL130/2009
EPI_ISL_76734,A/California/VRDL129/2009
EPI_ISL_74125,A/New York/0357/2009
EPI_ISL_74126,A/New York/0461/2009
EPI_ISL_73527,A/Texas/JMS397/2009
EPI_ISL_73526,A/Texas/JMS395/2009
EPI_ISL_73525,A/Texas/JMS394/2009
EPI_ISL_71403,A/Nebraska/23/2009
EPI_ISL_70334,A/Rhode Island/25/2009
EPI_ISL_73528,A/Texas/JMS398/2009
EPI_ISL_70332,A/Minnesota/38/2009
EPI_ISL_71378,A/Idaho/17/2009
EPI_ISL_73529,A/Texas/JMS399/2009
EPI_ISL_73808,A/Texas/JMS400/2009
EPI_ISL_71398,A/Minnesota/01/2010
EPI_ISL_71406,A/New Jersey/01/2010
EPI_ISL_71431,A/Utah/01/2010
EPI_ISL_76240,A/New York/7420/2010
EPI_ISL_71377,A/Hawaii/02/2010
EPI_ISL_70325,A/Kansas/01/2010
EPI_ISL_71376,A/Hawaii/02/2010
EPI_ISL_71374,A/Hawaii/01/2010
EPI_ISL_71375,A/Hawaii/01/2010
EPI_ISL_71405,A/New Hampshire/01/2010
EPI_ISL_73809,A/Texas/JMS401/2009
EPI_ISL_71341,A/Alabama/01/2010
EPI_ISL_73399,A/Alabama/01/2010
EPI_ISL_73530,A/Texas/JMS402/2009
EPI_ISL_73810,A/Texas/JMS403/2009
EPI_ISL_70323,A/Iowa/01/2010
EPI_ISL_71360,A/Colorado/02/2010
EPI_ISL_71407,A/New Mexico/01/2010
EPI_ISL_71368,A/Florida/01/2010
EPI_ISL_73531,A/Texas/JMS404/2009
EPI_ISL_73532,A/Texas/JMS405/2009
EPI_ISL_76739,A/California/VRDL1/2010
EPI_ISL_71412,A/North Carolina/02/2010
EPI_ISL_73533,A/Texas/JMS406/2009
