Isolate_Id,Isolate_Name
EPI_ISL_150383,A/Texas/85/2009
EPI_ISL_160960,A/New York/1159/2009
EPI_ISL_61861,A/Kentucky/04/2009
EPI_ISL_160961,A/New York/1160/2009
EPI_ISL_160962,A/New York/1161/2009
EPI_ISL_33698,A/Massachusetts/04/2009
EPI_ISL_33763,A/South Dakota/02/2009
EPI_ISL_33776,A/Rhode Island/01/2009
EPI_ISL_89940,A/Boston/79/2009
EPI_ISL_33787,A/North Carolina/04/2009
EPI_ISL_33786,A/North Carolina/03/2009
EPI_ISL_160963,A/New York/1162/2009
EPI_ISL_160964,A/New York/1163/2009
EPI_ISL_33696,A/Ohio/04/2009
EPI_ISL_87183,A/Boston/1/2009
EPI_ISL_89602,A/Boston/78/2009
EPI_ISL_33784,A/Hawaii/03/2009
EPI_ISL_88954,A/Boston/2/2009
EPI_ISL_33777,A/Alaska/01/2009
EPI_ISL_33775,A/Pennsylvania/12/2009
EPI_ISL_33765,A/Kansas/01/2009
EPI_ISL_33780,A/Hawaii/03/2009
EPI_ISL_87232,A/Boston/80/2009
EPI_ISL_89603,A/Boston/81/2009
EPI_ISL_33809,A/Tennessee/03/2009
EPI_ISL_87211,A/Boston/4/2009
EPI_ISL_33692,A/Oregon/02/2009
EPI_ISL_99230,A/Nevada/WRAIR1257P/2009
EPI_ISL_99232,A/Washington/WRAIR1237P/2009
EPI_ISL_89588,A/Boston/6/2009
EPI_ISL_33694,A/North Carolina/01/2009
EPI_ISL_33778,A/Kentucky/03/2009
EPI_ISL_160967,A/New York/1168/2009
EPI_ISL_33805,A/Ohio/06/2009
EPI_ISL_89604,A/Boston/82/2009
EPI_ISL_160968,A/New York/1169/2009
EPI_ISL_33774,A/Indiana/03/2009
EPI_ISL_33781,A/Hawaii/04/2009
EPI_ISL_33785,A/Hawaii/04/2009
EPI_ISL_33791,A/California/03/2009
EPI_ISL_89589,A/Boston/10/2009
EPI_ISL_33790,A/California/02/2009
EPI_ISL_144594,A/Mexico/24004/2009
EPI_ISL_33783,A/Florida/03/2009
EPI_ISL_150379,A/Texas/86/2009
EPI_ISL_33697,A/Arkansas/01/2009
EPI_ISL_33798,A/Texas/38/2009
EPI_ISL_87185,A/Boston/11/2009
EPI_ISL_87233,A/Boston/83/2009
EPI_ISL_87190,A/Boston/18/2009
EPI_ISL_33800,A/Maryland/04/2009
EPI_ISL_33789,A/Vermont/01/2009
EPI_ISL_33782,A/Florida/02/2009
EPI_ISL_33799,A/Maryland/03/2009
EPI_ISL_87186,A/Boston/13/2009
EPI_ISL_150384,A/Texas/87/2009
EPI_ISL_160969,A/New York/1170/2009
EPI_ISL_33708,A/Puerto Rico/02/2009
EPI_ISL_33796,A/New York/56/2009
EPI_ISL_33811,A/New York/56/2009
EPI_ISL_87189,A/Boston/17/2009
EPI_ISL_33779,A/Indiana/04/2009
EPI_ISL_87234,A/Boston/84/2009
EPI_ISL_89937,A/Boston/19/2009
EPI_ISL_87193,A/Boston/21/2009
EPI_ISL_33650,A/Quebec/RV870/2009
EPI_ISL_87187,A/Boston/14/2009
EPI_ISL_87192,A/Boston/20/2009
EPI_ISL_87235,A/Boston/85/2009
EPI_ISL_93685,A/Boston/47/2009
EPI_ISL_144595,A/Mexico/24005/2009
EPI_ISL_33649,A/Quebec/RV0984/2009
EPI_ISL_33651,A/Saskatchewan/RV1039/2009
EPI_ISL_87216,A/Boston/48/2009
EPI_ISL_87217,A/Boston/49/2009
EPI_ISL_87218,A/Boston/51/2009
EPI_ISL_87236,A/Boston/86/2009
EPI_ISL_89595,A/Boston/50/2009
EPI_ISL_87219,A/Boston/52/2009
EPI_ISL_33797,A/New York/02/2009
EPI_ISL_89939,A/Boston/87/2009
EPI_ISL_160971,A/New York/1172/2009
EPI_ISL_33793,A/Texas/01/2009
EPI_ISL_33792,A/Texas/01/2009
EPI_ISL_160970,A/New York/1171/2009
EPI_ISL_144586,A/Mexico/24018/2009
EPI_ISL_89591,A/Boston/23/2009
EPI_ISL_33812,A/Indiana/06/2009
EPI_ISL_33795,A/Virginia/03/2009
EPI_ISL_87194,A/Boston/24/2009
EPI_ISL_160974,A/New York/1175/2009
EPI_ISL_160973,A/New York/1174/2009
EPI_ISL_160972,A/New York/1173/2009
EPI_ISL_160975,A/New York/1176/2009
EPI_ISL_33632,A/Quebec/RV1107/2009
EPI_ISL_87203,A/Boston/3/2009
EPI_ISL_87237,A/Boston/88/2009
EPI_ISL_89590,A/Boston/22/2009
EPI_ISL_87204,A/Boston/30/2009
EPI_ISL_89947,A/Boston/32/2009
